ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,HopCount,Depth,ProcessingLatencyRatio,CentralTransmission,LowerBound,EventTypes,MaximumParents,greedy_costs,sampling_costs,factorial_costs,exact_costs
6656701,0.7968218508293115,237245.0,189042.0,[],50,1.3,0.5,5,5,0.1,0.06840058390709591,0.02,2.92,0.84,0,0.5,0,237245.0,0.0,6,4,0.0,0.0,0.0,65449.51153378253
7831494,0.786347201188556,243657.0,191599.0,[],50,1.3,0.5,5,5,0.1,0.06632868242983772,0.02,3.24,0.82,0,0.5,0,243657.0,0.0,6,4,0.0,0.0,0.0,19988.364029319506
2579983,0.6000398843354272,250725.0,150445.0,[],50,1.3,0.5,5,5,0.1,0.07520252236596722,0.04,3.04,0.91,0,0.5,0,250725.0,0.0,6,4,0.0,0.0,0.0,54749.54904664551
9067534,0.7909696679598932,158776.0,125587.0,[],50,1.3,0.5,5,5,0.1,0.08919960415717333,0.02,3.14,0.84,0,0.5,0,158776.0,0.0,6,4,0.0,0.0,0.0,39379.94131412513
4951161,0.7873482301759936,252850.0,199081.0,[],50,1.3,0.5,5,5,0.1,0.061477879355194796,0.03,2.86,0.89,0,0.5,0,252850.0,0.0,6,4,0.0,0.0,0.0,34585.52647360731
5163497,0.6000368222406334,271575.0,162955.0,[],50,1.3,0.5,5,5,0.1,0.06825199231050805,0.03,2.7,1.02,0,0.5,0,271575.0,0.0,6,4,0.0,0.0,0.0,60412.398642231405
888809,0.791669326778817,250616.0,198405.0,[],50,1.3,0.5,5,5,0.1,0.08579188717217356,0.01,2.9,0.9,0,0.5,0,250616.0,0.0,6,4,0.0,0.0,0.0,45010.686428916815
889667,1.0,257482.0,257482.0,[],50,1.3,0.5,5,4,0.1,0.08007412311238365,0.02,2.86,0.72,0,0.5,0,257482.0,0.0,6,4,0.0,0.0,0.0,24326.31087724719
3078321,0.6000476167801533,210010.0,126016.0,[],50,1.3,0.5,5,5,0.1,0.09652678824616934,0.01,2.9,0.93,0,0.5,0,210010.0,0.0,6,4,0.0,0.0,0.0,61881.980309546765
7173386,0.7915936342269848,200824.0,158971.0,[],50,1.3,0.5,5,5,0.1,0.06705808060573307,0.01,3.18,0.81,0,0.5,0,200824.0,0.0,6,4,0.0,0.0,0.0,47930.198189764385
4309358,1.0000134497182285,223053.0,223056.0,[],50,1.3,0.5,5,5,0.1,0.06207987610942726,0.03,2.86,0.87,0,0.5,0,223053.0,0.0,6,4,0.0,0.0,0.0,176631.8915939554
984325,0.5911204452378452,238075.0,140731.0,[],50,1.3,0.5,5,5,0.1,0.08312188758532846,0.02,2.74,0.93,0,0.5,0,238075.0,0.0,6,4,0.0,0.0,0.0,34467.351961250984
7705677,0.7850452288960481,261669.0,205422.0,[],50,1.3,0.5,5,5,0.1,0.09425435979497686,0.02,3.16,0.9,0,0.5,0,261669.0,0.0,6,4,0.0,0.0,0.0,65446.098457247084
3440671,0.40007247427163356,206970.0,82803.0,[],50,1.3,0.5,5,5,0.1,0.08212056364172574,0.02,2.82,0.91,0,0.5,0,206970.0,0.0,6,4,0.0,0.0,0.0,33363.927057977
2724360,1.0,209986.0,209986.0,[],50,1.3,0.5,5,5,0.1,0.09775221581452216,0.03,2.88,0.84,0,0.5,0,209986.0,0.0,6,4,0.0,0.0,0.0,59415.696986801675
3355351,0.5896474053538941,230860.0,136126.0,[],50,1.3,0.5,5,5,0.1,1.0,0.02,2.88,0.99,0,0.5,0,230860.0,0.0,6,4,0.0,0.0,0.0,63572.08401038412
2896197,1.0,218365.0,218365.0,[],50,1.3,0.5,5,5,0.1,0.053363589930739565,0.02,2.96,0.83,0,0.5,0,218365.0,0.0,6,4,0.0,0.0,0.0,58455.541375706845
