ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents
3514520,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.09040326982607523,0.03,3.06,1.58,5,0.5,139892.0,0.0,10,5
6263758,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.08606788955870354,0.02,3.06,1.58,5,0.5,139892.0,0.0,10,5
2887688,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.07344372609066821,0.06,3.06,1.62,5,0.5,139892.0,0.0,10,5
9596785,1.000017407652404,114892.0,114894.0,[],50,1.3,0.3,10,10,0.1,0.07456837975126902,0.03,3.06,1.57,5,0.5,114892.0,0.0,10,5
2754475,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.083875785716366,0.06,3.06,1.57,5,0.5,139892.0,0.0,10,5
3122766,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.0840394758703555,0.03,3.06,1.56,5,0.5,139892.0,0.0,10,5
9912300,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.06973550579640642,0.05,3.06,1.54,5,0.5,139892.0,0.0,10,5
5332654,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.07333258552237434,0.04,3.06,1.59,5,0.5,139892.0,0.0,10,5
9374117,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.09703763930102324,0.03,3.06,1.54,5,0.5,139892.0,0.0,10,5
7973373,1.0,139892.0,139892.0,[],50,1.3,0.3,10,10,0.1,0.0760793252286675,0.03,3.06,1.54,5,0.5,139892.0,0.0,10,5
